id,Текст Сообщения,Тематика,Ответственное лицо,Ответственное,persons
843,"<p>здравствуйте. улица мир &nbsp;быть заменить наружное освещение, именно заменить лампа &nbsp;энергосберегать лампы. протяжение несколько месяц освещение улица отсутствует. последний улица осветить это зима приблизительно 23:00 каждый день. человек работать 12 часовой смена многие возвращаться очень поздно. дать проблема улица поселка.&nbsp;</p>",неработающий наружное освещение,Администрация Курчатовского района,12,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
1422,<p>уже второй неделя гореть уличный освещение</p><p>&nbsp;</p>,неработающий наружное освещение,Комитет жилищно-коммунального хозяйства города Курска,46,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
2782,работать освещение двор дом 11а энергетиков. 6 световой опора,неработающий наружное освещение,Комитет жилищно-коммунального хозяйства города Курска,46,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
2704,покос сорный растительность газон тротуар проезжий часть проезд улица студенческий проспект дружба район дом №2 проспект дружба выявить значительный количество мусора. просить произвести уборку.,неудовлетворительный уборка улица тротуар,Администрация Центрального округа города Курска,28,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1]"
1,"<p>просить принять мера водитель маршрут 263: пос.северный - союзный (автобус г/н м588ом)</p><p>ть салон автобус постоянно накурено, (в число сегодня - 9.12.2020) &nbsp;особенно конечный остановки, где, видимо, водитель курить салоне, &nbsp;ехать невозможно, особенно ребенком, кроме салон грязно, ощущение, автобус мыть целый год.</p>",неудовлетворительный внешний вид (поведение) водитель осуществление муниципальный (пригородных) перевозка,Администрация города Курска,34,"[1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1]"
68,<p>добрый день!</p><p>просить создать остановочный пункт “викторовка”. проезжий часть человек очень долго идти рядом жд ветка.&nbsp;</p>,необходимо назначение дополнительный поезд,Администрация Льговского района,13,"[1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
2408,мусор га контейнерный площадка,соответствовать установленный норма сбор вывоз твёрдый бытовой отход район многоквартирный дом,Комитет жилищно-коммунального хозяйства города Курска,46,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
1587,"<p>добрый день! шестой день отсутствовать отопление один комнате, звонить управлять компания несколько день, однако приходил, ребёнок замерзает!&nbsp;</p>",нарушение теплоснабжение многоквартирный дом,ООО `УК Курский завод КПД им. А.Ф. Дериглазова`,75,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1504,<p>нарушение сфера жкх</p>,нарушение вопрос оплата услуга жкх,Государственная жилищная инспекция Курской области,39,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]"
880,"<p>моему отцу, булыгин валерий василиевич предоставить услуга 25.08.21 &nbsp;ть терапевтический кабинет №10 стоматологии. ужасный антисанитарный условиях, нужный оборудование электричества! прямой смысл слова, отец светить рот фонарик свой телефон врачу, удалить зуб! как, – это возможно 21 веке? почему курироваться это никто ? оборудование нет, инструмент 20 века, освещения, ничего, предоставить качественный услугу. это детский площадка ковид закрывать! почему надзора? последний проверка? спонсировать данный больницу?&nbsp;</p><p>просить срочный порядок разобраться дать ситуации! город частный стоматология лицензия хирургический вмешательства. стоматологии! бог знает, случиться, процедура антисанитарии. &nbsp;жда скорый время ответа, главное действий! просто сделать работа покажите, зря есть свой хлеб!&nbsp;</p>",неудовлетворительный материально-технический состояние учреждение здравоохранение,Комитет здравоохранения Курской области,48,"[1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
258,"<p>ть соответствие <span style=`background-color:rgb(255,255,255);color:rgb(60,60,60);`>распоряжение губернатор курский область 10 март 2020 год n 60-рг, приём гражданин мбдоу отменен. заявление постановка очередь ребёнок приниматься портал государственный услуг. я октябрь месяц подать заявление (череза портал) ребёнок поставить очередь указание её номера. подтверждение очереди, март 2021 год совершить телефонный звонок мбдоу №5, пояснили, приём гражданин прежний ведется, ребёнок записать очередь, однако её номер отличаться 40 человек (увеличиться 40). представитель мбдоу №5 пояснил, номер портал фактический совпадать выдать уведомление новый очередью.</span></p><p><span style=`background-color:rgb(255,255,255);color:rgb(60,60,60);`>ть соответствие постановление глава г. курск </span>9&nbsp;августа&nbsp; &nbsp;2017 г.&nbsp; № 2095<span style=`background-color:rgb(255,255,255);color:rgb(60,60,60);`> &nbsp;все дать очередь заноситься единый электронный систему. портал государственный услуга доступный “функция” проверка очередь онлайн номер совпадать озвучить мбдоу. &nbsp;&nbsp;</span></p><p><span style=`background-color:rgb(255,255,255);color:rgb(60,60,60);`>просить способствовать решение сложиться противоречия?&nbsp;</span></p>",наличие очередь место дошкольный учреждение,Администрация города Курска,34,"[1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1]"
2125,"31 март 2021г двор наш дом пилить 15 деревьев, сей пора 19.04.2021г вывезти (трактор 2 раза), также весь листва собрать кучка дворе, домом, вывезена. это создавать грязь, земля срубить дерево просыхает, рядом детский площадка, т.к земля просыхать пахнуть гнилью. также 19.04.2021 начаться ремонт крыши, шифер сзади дом накидать неизвестно это всё уберут. дом похожий катакомбы. неоднократно звонить ук жилищникнуть наталья михайловне, сей пора убрано. обещания. нужно почистить двор весь грязи, это создавать очень больший неудобство весь жилец дома.",длительный неисполнение заявка управлять компания,Администрация города Железногорска,33,"[1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1]"
2687,"работать наружное освещение, заезд двор п-т кулаковый д. 9 (жар пицца)",неработающий наружное освещение,Комитет жилищно-коммунального хозяйства города Курска,46,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
359,<p>лестница &nbsp;которать вести ул ендовищенский &nbsp; ул марат &nbsp;после ремонт &nbsp;вот такой состоянии</p>,неудовлетворительный уборка улица тротуар,Администрация города Курска,34,"[1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1]"
