id,Текст Сообщения,Тематика,Ответственное лицо,Категория,Ответственное,persons
2246,"помочь начальник льговский рэс реагировать жалобы, малый ветер сидеть света, именно деревня больший угон улица старый слобода. пожалуйста помогите, пускай вычистить фотоотчёт сделать","нарушения, связанный содержание электросеть качество энергоснабжение район частное сектор",Администрация Льговского района,3.0,13,"[1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
380,"<p>по фасад дом адрес ул. урицкий 22 проходить труба газовый магистрали. также этот труба проходить рядом деревом, который каждый порыв ветер цеплять трубку, заставлять двигаться креплениям. боимся, особенно сильный порыве, труба просто сломаться. это газ, существовать опасность взрыва. обращаться повод проблема газовый служба мчс, отказываться спиливать это дерево, говорят, газ пахнет, поделать могут. начать пахнуть газом, поздно что-то предпринимать. просить спилить дерево, который создавать опасность целостность газовый трубы.</p>",аварийный дерево,Администрация города Курска,3.0,34,"[1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1]"
2240,агресивный собаки. радуга стая подрасти щенок зврослый собак. ребёнок бросилась. соьаки бросаться пытаться нога укусить. разговор охранник дать результат,безнадзорный животное,Администрация города Курска,1.0,34,"[1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1]"
596,"<p>ич пересечение &nbsp;улица сосновский береговой &nbsp;завалить песок гравий санитарный зона участок который относиться <span style=`background-color:rgb(255,255,255);color:rgb(51,51,51);`>муп кгтпо &nbsp; ( центральный рынок) невозможно пройти проехать коляской</span>&nbsp;</p>",нескошенный сорный растительность место общий пользование район частное сектр,Комитет дорожного хозяйства города Курска,3.0,45,"[1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1]"
1797,"<p style=`text-align:justify;`><span style=`background-color:white;`>здравствуйте! рядом с&nbsp;дом 1 «а» по&nbsp;улице&nbsp;светлая, вне придомовый территории, расти клен. это довольно старое хрупкий дерево. в&nbsp;случай непогода возможно обламывание ветвь (как неоднократно случалось), большой вероятность привести к&nbsp;обрыв находиться рядом электрический проводов, в&nbsp;случай повреждение который свет остаться весь улица. кроме того, возникать угроза жизнь и&nbsp;здоровие проживать рядом человек (в число детей), а&nbsp;такж автомобиль другой имуществу. просить провести спить дерево санитарный обрезку.</span></p>",аварийный дерево,Комитет городского хозяйства города Курска,3.0,44,"[1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
1383,"<p>добрый день! управлять компания “аврор +” убирать дворовый территория адрес г. курск, ул. союзный д. 71б. &nbsp;ть неоднократно звонить управлять компанию, результат нет. &nbsp;после сегодняшний снегопад ситуация также изменилась. просить принять мера обязать ук “аврор +” &nbsp;исполнять свой обязательства, который 2021 год взять себя, житель многоквартирный дома. &nbsp;&nbsp;</p>",несвоевременный очистка дворовый территория многоквартирный дом наледь снег,Комитет жилищно-коммунального хозяйства города Курска,3.0,46,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
1934,"добрый день, полностью отсутствовать наружный освежение дом адрес проспект дружба д.19д, один фонарный столба, предподъездный территория иметь никакой освещения. необходимо установить осветительный прибор который мочь обеспечить норма освещённости!",неработающий наружное освещение,Администрация города Курска,3.0,34,"[1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1]"
2833,"едкий вредный здоровье запах карьер завод `сырный долина`. - чистить труба технический ванна `каустиковый содой`, жидкость сливать грунт фильтрации, откуда попадать грунтовый воды; - последний год больший пожар карьер т.к. туда сливаться жир, который горит. из-за пожар повредить газопровод. наличие ветра, мочь сгореть деревня; - едкий запах разноситься 10 км разный стороны, зависимость направление ветра; - нечистота зимой попадать лес, пара год назад пруд д. калиновка; - активист который бороться данные явление (дмитрий кутепов), запугивать охранник завода, человек правоохранительный орган грозить тюремный сроком; - 2008 год житель деревня жалуются, мера никакой принять было; - неоднократно дать карьера падать ребёнок т.ч. взрослые. летальный исходов; - едкий запах развиваться головной боль приступ астмы. * карьер целенаправить набирать чистый воду. карьер находиться вблизи дорога проверка брать проба него. сделать специально этого. данный момент сливать отход ночной время суток, бывать днём. разный время. слив нарушаться жировой плёнка поверхность затягивать едкий запахом. норма законодательство российский федерации, данный производство должный разместить рядом жилой домами. отсюда лицо грубый нарушение размещение производство расположение резервуар слива нечистот. надеяться закон российский федерация быть соблюсти производство перенести другой место дать жилой дом ям быть осушены, нечистота быть вывозиться специальный место дальнейший утилизации.",неприятный запах,Комитет природных ресурсов Курской области,16.0,59,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
1263,<p>отсутствие люка</p>,отсутствие люковый коммуникационный колодец,Муниципальное казенное учреждение «Городская инспекция по жилищно-коммунальному хозяйству и благоустройству»,3.0,68,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1593,"<p>добрый день.&nbsp;</p><p>ич остановка `площадь рокоссовского` подземный переход находиться очень плохой состоянии. трудно спускаться трудно подниматься, ступень разбиты, зимой ещё появляться лёд, несколько затруднять передвижение (как спуск данный подземный переход, подъём). большой возможность упасть получить травму, держаться перила, ведь, ступень просто заледенели, ещё возможность как-то удержаться, опираться перила спуск подъёме, данный случай ступень данный переход покрываться лёд зимой, находиться ужасном, опасный здоровье людей, состоянии.</p><p>просить разобраться дать проблема сделать хороший ступень данный подземный переходе.</p><p>с уважением,</p><p>половинкин в. с.</p>",пешеходный переход дорога граница городской округ сельский поселение,Комитет природных ресурсов Курской области,0.0,59,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
